entry,phonemes,mappings
atoxiqué,"['a', 't', 'o', 'k', 's', 'i', 'k', 'E']","[('a', 'a'), ('t', 't'), ('o', 'o'), ('x', 'k'), ('i', 's'), ('q', 'i'), ('u', 'k'), ('é', 'E')]"
ay,"['A', 'J']","[('a', 'A'), ('y', 'J')]"
boîte,"['b', 'O', 'J', 't', 'e']","[('b', 'b'), ('o', 'O'), ('î', 'J'), ('t', 't'), ('e', 'e')]"
calpixque,"['k', 'a', 'l', 'p', 'I', 'k', 's', 'k', 'e']","[('c', 'k'), ('a', 'a'), ('l', 'l'), ('p', 'p'), ('i', 'I'), ('x', 'k'), ('q', 's'), ('u', 'k'), ('e', 'e')]"
caquexia,"['k', 'a', 'k', 'E', 'k', 's', 'j', 'a']","[('c', 'k'), ('a', 'a'), ('q', 'k'), ('u', 'E'), ('e', 'k'), ('x', 's'), ('i', 'j'), ('a', 'a')]"
caxhuacan,"['k', 'a', 'k', 'S', 'W', 'A', 'k', 'a', 'n']","[('c', 'k'), ('a', 'a'), ('x', 'k'), ('h', 'S'), ('u', 'W'), ('a', 'A'), ('c', 'k'), ('a', 'a'), ('n', 'n')]"
chaux,"['C', 'A', 'W', 'k', 's']","[('c', 'C'), ('h', 'A'), ('a', 'W'), ('u', 'k'), ('x', 's')]"
chemax,"['C', 'E', 'm', 'a', 'k', 's']","[('c', 'C'), ('h', 'E'), ('e', 'm'), ('m', 'a'), ('a', 'k'), ('x', 's')]"
chicxulub,"['C', 'i', 'k', 'k', 's', 'u', 'l', 'U', 'b']","[('c', 'C'), ('h', 'i'), ('i', 'k'), ('c', 'k'), ('x', 's'), ('u', 'u'), ('l', 'l'), ('u', 'U'), ('b', 'b')]"
choix,"['C', 'O', 'J', 'k', 's']","[('c', 'C'), ('h', 'O'), ('o', 'J'), ('i', 'k'), ('x', 's')]"
coxcojilla,"['k', 'o', 'k', 's', 'k', 'o', 'x', 'I', 'Y', 'a']","[('c', 'k'), ('o', 'o'), ('x', 'k'), ('c', 's'), ('o', 'k'), ('j', 'o'), ('i', 'x'), ('l', 'I'), ('l', 'Y'), ('a', 'a')]"
desoxirribonucleico,"['d', 'e', 's', 'o', 'k', 's', 'i', 'R', 'i', 'B', 'o', 'n', 'u', 'k', 'l', 'E', 'J', 'k', 'o']","[('d', 'd'), ('e', 'e'), ('s', 's'), ('o', 'o'), ('x', 'k'), ('i', 's'), ('r', 'i'), ('r', 'R'), ('i', 'i'), ('b', 'B'), ('o', 'o'), ('n', 'n'), ('u', 'u'), ('c', 'k'), ('l', 'l'), ('e', 'E'), ('i', 'J'), ('c', 'k'), ('o', 'o')]"
excomulgue,"['e', 'k', 's', 'k', 'o', 'm', 'U', 'l', 'g', 'e']","[('e', 'e'), ('x', 'k'), ('c', 's'), ('o', 'k'), ('m', 'o'), ('u', 'm'), ('l', 'U'), ('g', 'l'), ('u', 'g'), ('e', 'e')]"
excomulguemos,"['e', 'k', 's', 'k', 'o', 'm', 'u', 'l', 'g', 'E', 'm', 'o', 's']","[('e', 'e'), ('x', 'k'), ('c', 's'), ('o', 'k'), ('m', 'o'), ('u', 'm'), ('l', 'u'), ('g', 'l'), ('u', 'g'), ('e', 'E'), ('m', 'm'), ('o', 'o'), ('s', 's')]"
excrescencia,"['e', 'k', 's', 'k', 'r', 'e', 'T', 'E', 'n', 'T', 'j', 'a']","[('e', 'e'), ('x', 'k'), ('c', 's'), ('r', 'k'), ('e', 'r'), ('s', 'e'), ('c', 'T'), ('e', 'E'), ('n', 'n'), ('c', 'T'), ('i', 'j'), ('a', 'a')]"
exequátur,"['e', 'k', 's', 'e', 'k', 'A', 't', 'u', 'r']","[('e', 'e'), ('x', 'k'), ('e', 's'), ('q', 'e'), ('u', 'k'), ('á', 'A'), ('t', 't'), ('u', 'u'), ('r', 'r')]"
exequias,"['e', 'k', 's', 'E', 'k', 'j', 'a', 's']","[('e', 'e'), ('x', 'k'), ('e', 's'), ('q', 'E'), ('u', 'k'), ('i', 'j'), ('a', 'a'), ('s', 's')]"
exoesqueleto,"['e', 'k', 's', 'o', 'e', 's', 'k', 'e', 'l', 'E', 't', 'o']","[('e', 'e'), ('x', 'k'), ('o', 's'), ('e', 'o'), ('s', 'e'), ('q', 's'), ('u', 'k'), ('e', 'e'), ('l', 'l'), ('e', 'E'), ('t', 't'), ('o', 'o')]"
